100 164
1 100
1 2 4
39 40 32
8 29 8
69 70 14
90 95 9
39 79 28
17 49 20
3 63 30
10 63 33
20 75 37
57 71 45
34 55 2
65 90 42
95 98 40
57 60 28
86 99 27
25 36 23
9 86 15
80 100 7
9 20 5
18 35 29
42 55 29
29 45 5
5 56 16
82 99 5
50 76 16
54 79 20
2 74 38
90 97 6
71 79 3
89 94 17
10 85 39
71 100 37
69 98 26
66 68 4
53 94 45
44 93 4
86 97 23
74 84 25
25 84 38
80 96 11
25 56 21
38 46 41
73 97 2
66 71 10
11 67 20
82 92 29
90 100 35
79 87 35
62 66 37
88 95 41
27 88 13
42 97 15
5 100 48
16 44 30
36 96 19
31 86 13
16 54 1
17 29 6
34 83 20
5 50 3
73 77 24
2 95 8
45 99 39
31 35 50
81 93 11
65 86 34
55 97 3
74 75 35
55 83 10
55 96 42
45 52 46
70 92 30
92 98 32
78 85 47
78 81 42
54 57 3
77 93 27
61 65 28
89 100 37
8 64 13
60 78 18
10 66 1
52 55 29
91 100 15
53 93 32
52 64 48
67 78 29
52 92 32
96 99 5
90 93 49
79 92 35
54 84 29
69 73 8
88 92 23
77 95 28
58 63 21
86 94 8
81 90 32
82 89 5
57 79 19
11 29 25
97 98 2
31 33 49
18 74 8
89 98 49
50 62 42
25 97 10
42 90 27
80 83 19
16 63 49
28 39 42
66 81 38
71 98 49
8 19 20
88 99 3
9 90 31
57 69 17
92 94 33
95 97 14
11 32 24
19 23 33
2 8 48
58 86 2
2 14 41
27 89 21
52 59 31
11 20 13
27 99 30
39 55 12
44 82 17
94 95 49
59 71 38
51 86 21
10 81 49
74 81 45
44 56 21
53 84 40
42 95 4
3 67 47
71 74 10
89 90 2
76 77 38
75 90 47
98 99 3
98 100 8
79 89 1
73 96 35
55 90 26
82 88 34
38 78 48
65 66 49
32 54 16
96 97 48
79 96 2
54 69 8
28 66 20
32 45 32
86 91 20
70 78 49
66 89 45
19 47 39
74 90 47
92 96 32
